Src,type,note
CVE-2017-1000430,not-memory-safety-related,
CVE-2018-20992,pattern,hir
CVE-2018-20996,pattern,mir
CVE-2018-21000,pattern,hir
CVE-2019-15548,pattern,hir
CVE-2019-16138,pattern,hir
CVE-2019-16139,complex,lifetime-trick/ghost-cell
CVE-2020-25016,pattern,mir
CVE-2020-25795,invariant,
CVE-2020-35860,pattern,hir
CVE-2020-35861,pattern,hir
CVE-2020-35862,complex,`Vec::into_boxed_slice`-trick
CVE-2020-35870,pattern,mir
CVE-2020-35871,pattern,mir
CVE-2020-35873,pattern,mir
CVE-2020-35874,complex,race
CVE-2020-35878,pattern,hir
CVE-2020-35881,pattern,hir
CVE-2020-35892,pattern,hir
CVE-2020-35893,pattern,hir
CVE-2020-35898,pattern,hir
CVE-2020-35899,pattern,hir
CVE-2020-35901,pattern,mir
CVE-2020-35902,pattern,mir
CVE-2020-35906,pattern,hir
CVE-2020-35907,pattern,hir
CVE-2020-35917,pattern,mir
CVE-2020-35923,invariant,
CVE-2021-25901,complex,send/sync-trick
CVE-2021-25904,pattern,hir
CVE-2021-25905,complex,buffer-read-trick
CVE-2021-26957,complex,macro?
CVE-2021-27376,pattern,hir(type-transmute)
CVE-2021-29941,complex,exact-size-iterator-trick
CVE-2021-29942,complex,exact-size-iterator-trick
CVE-2021-32810,complex,race
CVE-2021-38190,invariant,
CVE-2021-45707,complex,linux-api-trick
CVE-2021-45710,complex,race
CVE-2022-23639,pattern,hir(type-transmute)
CVE-2023-28448,invariant,
CVE-2023-41051,complex,implementation
